repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day
MicrosoftDocs/dynamics365smb-docs-pr.fr-fr,203,1833,4,346788,260912,1708,1285,67,35,1,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48091,0,6,1833,1,1,0,2,0,697,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Azure/cortana-intelligence-price-optimization,156,1980,1680,10750,5213,69,33,3,30,3,22,5,28,8,64,32,55,0,1,9,13,5,3,0,0,0,0,199,23,260,0,1,2,27168,0,3,1981,0,4,0,68,0,5346,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,2,0,0,0,0,0,0,0
beniaminov/IntSys_test,209,1590,79,35756,2702,171,13,3,27,5,28,0,0,0,0,0,2,0,1,0,5,1,0,0,0,0,0,0,12,10,0,1,2,22592,0,2,1590,0,3,0,0,0,817,2,1,96,0,96,0,0,0,0,1,52,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akhil1194/class,115,1316,1316,471,267,4,2,1,15,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,1316,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpentries-incubator/study-groups,909,3195,352,101851,41403,112,46,3,69,2,19,78,8,3,99,55,14,0,2,45,62,8,0,0,0,0,0,104,32,253,0,2,9,3050,0,20,484,2,9,0,3,74,602,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,6,0.0411168981481482,0.0280960648148148,0.0130208333333333,0,2,0
pmphillip/docker-nginx-proxy-letsencrypt,265,2900,510,5383,1445,20,5,2,77,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,3,1736,0,3,0,0,0,14625,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure-Samples/mipsdk-protectionapi-cpp-sample-basic,45,1299,152,9998,5481,222,122,3,28,2,7,5,7,4,206,149,10,0,3,2,13,1,0,0,0,0,0,173,23,164,0,1,1,182,1,10,1299,0,2,0,4,0,4836,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,330,0,37,1,66,28451,4,1,1,0,0,0,0,0,0,0
Azure/azure-docs-powershell-azuread,1242,2024,5,457881,125583,369,101,11,52,4,58,100,8,2,340,243,299,0,3,1929,805,25,78,0,0,0,2,1799,41,284,0,1,11,3083,0,21,2024,0,1,0,156,0,3604,303,4,459,16,114,4,0,2,0,1,63,36,1,0,0,1,1,0,0,0,0,0,0,0,0,156,1,3,0,0,0,0,0,0,0
microsoft/appcenter-sample-export,10,1420,1329,1985,700,199,70,4,59,3,4,0,0,0,0,0,7,0,1,2,4,0,0,0,0,0,0,246,22,232,0,1,2,27,0,1,1420,0,1,0,9,0,1881,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0
pwebftik/P.WEB-2014,196,2367,2309,103889,38084,530,194,3,63,7,29,62,3,1,567,228,6,0,3,0,3,1,0,0,0,0,0,0,24,0,0,1,2,17519,0,3,2367,0,4,0,3,0,0,7,1,0,0,0,0,0,0,0,4,0,38,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
